Frame,Speed,Date,Time,Km marker
521,228,18/10/2023,16:00:45,021+921
522,228,18/10/2023,16:00:45,021+921
523,228,18/10/2023,16:00:46,021+926
524,228,18/10/2023,16:00:46,021+931
525,228,18/10/2023,16:00:46,021+936
526,228,18/10/2023,16:00:46,021+936
527,228,18/10/2023,16:00:46,021+941
528,228,18/10/2023,16:00:46,021+946
529,228,18/10/2023,16:00:46,021+946
530,228,18/10/2023,16:00:46,021+951
531,228,18/10/2023,16:00:46,021+956
532,228,18/10/2023,16:00:46,021+961
533,228,18/10/2023,16:00:46,021+961
534,229,18/10/2023,16:00:46,021+966
535,229,18/10/2023,16:00:46,021+971
536,229,18/10/2023,16:00:46,021+976
537,229,18/10/2023,16:00:46,021+976
538,229,18/10/2023,16:00:46,021+981
539,229,18/10/2023,16:00:46,021+986
540,229,18/10/2023,16:00:47,021+991
541,229,18/10/2023,16:00:47,021+991
542,229,18/10/2023,16:00:47,021+996
543,229,18/10/2023,16:00:47,022+001
544,229,18/10/2023,16:00:47,022+006
545,229,18/10/2023,16:00:47,022+006
546,229,18/10/2023,16:00:47,022+011
547,230,18/10/2023,16:00:47,022+016
548,230,18/10/2023,16:00:47,022+021
549,230,18/10/2023,16:00:47,022+021
550,230,18/10/2023,16:00:47,022+026
551,230,18/10/2023,16:00:47,022+031
552,230,18/10/2023,16:00:47,022+031
553,230,18/10/2023,16:00:47,022+036
554,230,18/10/2023,16:00:47,022+041
555,230,18/10/2023,16:00:47,022+046
556,230,18/10/2023,16:00:47,022+046
557,230,18/10/2023,16:00:47,022+051
558,230,18/10/2023,16:00:48,022+056
559,230,18/10/2023,16:00:48,022+061
560,230,18/10/2023,16:00:48,022+061
561,230,18/10/2023,16:00:48,022+066
562,231,18/10/2023,16:00:48,022+071
563,231,18/10/2023,16:00:48,022+076
564,231,18/10/2023,16:00:48,022+076
565,231,18/10/2023,16:00:48,022+081
566,231,18/10/2023,16:00:48,022+086
567,231,18/10/2023,16:00:48,022+091
568,231,18/10/2023,16:00:48,022+091
569,231,18/10/2023,16:00:48,022+096
570,231,18/10/2023,16:00:48,022+101
571,231,18/10/2023,16:00:48,022+106
572,231,18/10/2023,16:00:48,022+106
573,231,18/10/2023,16:00:48,022+111
574,231,18/10/2023,16:00:48,022+116
575,231,18/10/2023,16:00:49,022+121
576,231,18/10/2023,16:00:49,022+121
577,232,18/10/2023,16:00:49,022+126
578,232,18/10/2023,16:00:49,022+131
579,232,18/10/2023,16:00:49,022+136
580,232,18/10/2023,16:00:49,022+136
581,232,18/10/2023,16:00:49,022+141
582,232,18/10/2023,16:00:49,022+146
583,232,18/10/2023,16:00:49,022+151
584,232,18/10/2023,16:00:49,022+151
585,232,18/10/2023,16:00:49,022+156
586,232,18/10/2023,16:00:49,022+161
587,232,18/10/2023,16:00:49,022+166
588,232,18/10/2023,16:00:49,022+166
589,232,18/10/2023,16:00:49,022+171
590,232,18/10/2023,16:00:49,022+176
591,232,18/10/2023,16:00:49,022+181
592,232,18/10/2023,16:00:49,022+181
593,232,18/10/2023,16:00:50,022+186
594,233,18/10/2023,16:00:50,022+191
595,233,18/10/2023,16:00:50,022+196
596,233,18/10/2023,16:00:50,022+196
597,233,18/10/2023,16:00:50,022+201
598,233,18/10/2023,16:00:50,022+206
599,233,18/10/2023,16:00:50,022+211
600,233,18/10/2023,16:00:50,022+211
601,233,18/10/2023,16:00:50,022+216
602,233,18/10/2023,16:00:50,022+221
603,233,18/10/2023,16:00:50,022+226
604,233,18/10/2023,16:00:50,022+226
605,233,18/10/2023,16:00:50,022+231
606,233,18/10/2023,16:00:50,022+236
607,233,18/10/2023,16:00:50,022+241
608,233,18/10/2023,16:00:50,022+241
609,233,18/10/2023,16:00:50,022+246
610,233,18/10/2023,16:00:51,022+251
611,233,18/10/2023,16:00:51,022+256
612,233,18/10/2023,16:00:51,022+256
613,233,18/10/2023,16:00:51,022+261
614,234,18/10/2023,16:00:51,022+266
615,234,18/10/2023,16:00:51,022+271
616,234,18/10/2023,16:00:51,022+271
617,234,18/10/2023,16:00:51,022+276
618,234,18/10/2023,16:00:51,022+281
619,234,18/10/2023,16:00:51,022+286
620,234,18/10/2023,16:00:51,022+286
621,234,18/10/2023,16:00:51,022+291
622,234,18/10/2023,16:00:51,022+296
623,234,18/10/2023,16:00:51,022+301
624,234,18/10/2023,16:00:51,022+301
625,234,18/10/2023,16:00:51,022+306
626,234,18/10/2023,16:00:51,022+311
627,234,18/10/2023,16:00:52,022+316
628,234,18/10/2023,16:00:52,022+316
629,234,18/10/2023,16:00:52,022+321
630,234,18/10/2023,16:00:52,022+326
631,234,18/10/2023,16:00:52,022+331
632,234,18/10/2023,16:00:52,022+331
633,234,18/10/2023,16:00:52,022+336
634,234,18/10/2023,16:00:52,022+341
635,235,18/10/2023,16:00:52,022+346
636,235,18/10/2023,16:00:52,022+346
637,235,18/10/2023,16:00:52,022+351
638,235,18/10/2023,16:00:52,022+356
639,235,18/10/2023,16:00:52,022+361
640,235,18/10/2023,16:00:52,022+361
641,235,18/10/2023,16:00:52,022+366
642,235,18/10/2023,16:00:52,022+371
643,235,18/10/2023,16:00:52,022+376
644,235,18/10/2023,16:00:52,022+376
645,235,18/10/2023,16:00:53,022+381
646,235,18/10/2023,16:00:53,022+386
647,235,18/10/2023,16:00:53,022+391
648,235,18/10/2023,16:00:53,022+396
649,235,18/10/2023,16:00:53,022+396
650,235,18/10/2023,16:00:53,022+401
651,235,18/10/2023,16:00:53,022+406
652,235,18/10/2023,16:00:53,022+411
653,235,18/10/2023,16:00:53,022+411
654,235,18/10/2023,16:00:53,022+416
655,235,18/10/2023,16:00:53,022+421
656,235,18/10/2023,16:00:53,022+426
657,235,18/10/2023,16:00:53,022+426
658,235,18/10/2023,16:00:53,022+431
659,235,18/10/2023,16:00:53,022+436
